"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Apr 16 07:55:13 GMT 2024","Tue Apr 16 07:57:12 GMT 2024","119907","","SliceHealth Suite","","SliceHealth Suite","","[It] Verify gw redundancy wrt health check when both gateways are down should have gw in error state",""
"passed","Tue Apr 16 08:39:03 GMT 2024","Tue Apr 16 08:39:05 GMT 2024","2088","","Worker Suite","","Worker Suite","","[It] Namespace reconcile test scenarios: when Namespaces are labeled with kubeslice label Onboard label app ns on workers",""
"passed","Tue Apr 16 08:39:03 GMT 2024","Tue Apr 16 08:39:04 GMT 2024","1704","","Worker Suite","","Worker Suite","","[It] Slice Config Events Test Events get recorded for service export creation and deletion Events get recorded for service export deletion Validating events for worker service imports deletion",""
"passed","Tue Apr 16 08:39:03 GMT 2024","Tue Apr 16 08:39:04 GMT 2024","1531","","Worker Suite","","Worker Suite","","[It] Pod-restart test cases Restarting vl3 pod Should restart vl3 pod",""
"passed","Tue Apr 16 08:39:03 GMT 2024","Tue Apr 16 08:39:05 GMT 2024","2023","","Worker Suite","","Worker Suite","","[It]  QosProfile tests QosProfile delete validation should remove vl3 router from spoke",""
"passed","Tue Apr 16 08:39:03 GMT 2024","Tue Apr 16 08:42:10 GMT 2024","187489","","Worker Suite","","Worker Suite","","[It] NodeRestartSlice Testing node restart iperf connectivity across multi cluster",""
"passed","Tue Apr 16 09:43:07 GMT 2024","Tue Apr 16 09:43:07 GMT 2024","68","","VPNKeyRotation Suite","","VPNKeyRotation Suite","","[It] Verify vpn key rotation functionality: should have FSM's running simultaneously",""
"passed","Tue Apr 16 08:39:03 GMT 2024","Tue Apr 16 08:40:27 GMT 2024","84271","","Worker Suite","","Worker Suite","","[It] NetworkPolicy tests slice with netpol should have gateway pod running",""
"passed","Tue Apr 16 08:39:03 GMT 2024","Tue Apr 16 08:39:24 GMT 2024","21729","","Worker Suite","","Worker Suite","","[It] Pod-restart test cases Restarting vl3 pod Check ping between iperf-server and iperf-client after vl3 pod restart",""
"passed","Tue Apr 16 08:39:03 GMT 2024","Tue Apr 16 08:39:05 GMT 2024","2545","","Worker Suite","","Worker Suite","","[It]  QosProfile tests QosProfile delete validation Delete qos profile - negative scenario",""
"passed","Tue Apr 16 08:39:03 GMT 2024","Tue Apr 16 08:39:03 GMT 2024","546","","Worker Suite","","Worker Suite","","[It] Hub netpol scenarios: Slice Configs Netpol scenarios Should successfully deploy for valid namespace creating clusters with * in both applicationNamespace and allowedNamespace",""
"passed","Tue Apr 16 08:39:03 GMT 2024","Tue Apr 16 08:39:06 GMT 2024","3196","","Worker Suite","","Worker Suite","","[It] Edit NodeIP tests for cluster CR,  Edit NodeIP validation,  Test nodeip validity >  Support more than two node ips in auto detection",""
"passed","Tue Apr 16 08:39:03 GMT 2024","Tue Apr 16 08:39:05 GMT 2024","2509","","Worker Suite","","Worker Suite","","[It] NetworkPolicy tests slice with netpol Should have application namespaces created",""
"passed","Tue Apr 16 08:39:03 GMT 2024","Tue Apr 16 08:39:04 GMT 2024","1128","","Worker Suite","","Worker Suite","","[It] Slice Config Events Test Events get recorded for slice config creation and deletion Events get recorded for slice config creation Validating events for worker slice configs creation",""
"passed","Tue Apr 16 08:39:03 GMT 2024","Tue Apr 16 08:39:07 GMT 2024","4418","","Worker Suite","","Worker Suite","","[It] Pod-restart test cases Restarting worker-operator pod Check ping between iperf-server and iperf-client after worker-operator pod restart",""
"skipped","Tue Apr 16 08:39:03 GMT 2024","Tue Apr 16 08:39:03 GMT 2024","0","","Worker Suite","","Worker Suite","","[It] NodeRestartSlice Testing node restart should re-establish connection on node restart",""
"passed","Tue Apr 16 08:39:03 GMT 2024","Tue Apr 16 08:39:18 GMT 2024","15331","","Worker Suite","","Worker Suite","","[It] NetworkPolicy tests slice with netpol should remove network policy resource from application namespace once the isolationEnabled is set to false",""
"passed","Tue Apr 16 08:39:03 GMT 2024","Tue Apr 16 08:39:19 GMT 2024","16800","","Worker Suite","","Worker Suite","","[It] Namespace reconcile test scenarios: when Slice is created with onboarded application namespaces Should have application namespaces created & labeled",""
"passed","Tue Apr 16 08:39:03 GMT 2024","Tue Apr 16 08:39:03 GMT 2024","348","","Worker Suite","","Worker Suite","","[It] Slice Config Events Test Events get recorded for slice config creation and deletion Events get recorded for slice config creation Validating events for worker slice gateways creation",""
"failed","Tue Apr 16 08:39:03 GMT 2024","Tue Apr 16 08:44:46 GMT 2024","343079","","Worker Suite","","Worker Suite","","[It] NetworkPolicy tests Iperf App connectivity Should install iperf-server on server cluster",""
